
    ██████╗ ██╗   ██╗███████╗██╗   ██╗███╗   ██╗ ██████╗███████╗██████╗ ██╗     ███████╗
    ██╔══██╗╚██╗ ██╔╝██╔════╝██║   ██║████╗  ██║██╔════╝██╔════╝██╔══██╗██║     ██╔════╝
    ██████╔╝ ╚████╔╝ █████╗  ██║   ██║██╔██╗ ██║██║     █████╗  ██████╔╝██║     █████╗
    ██╔═══╝   ╚██╔╝  ██╔══╝  ██║   ██║██║╚██╗██║██║     ██╔══╝  ██╔══██╗██║     ██╔══╝
    ██║        ██║   ██║     ╚██████╔╝██║ ╚████║╚██████╗███████╗██████╔╝███████╗███████╗
    ╚═╝        ╚═╝   ╚═╝      ╚═════╝ ╚═╝  ╚═══╝ ╚═════╝╚══════╝╚═════╝ ╚══════╝╚══════╝
    


Subject                                                                                              Status      Source    
---------------------------------------------------------------------------------------------------- ----------- ----------
3thymecoffee.com                                                                                     ACTIVE      DNSLOOKUP 
47erabet88.com                                                                                       ACTIVE      DNSLOOKUP 
4mkokoh.com                                                                                          ACTIVE      DNSLOOKUP 
aachendutchshepherds.com                                                                             ACTIVE      DNSLOOKUP 
1121shib.org                                                                                         ACTIVE      WHOIS     
abuseru.com                                                                                          ACTIVE      DNSLOOKUP 
abutogel.com                                                                                         ACTIVE      DNSLOOKUP 
abutogelbrand.com                                                                                    ACTIVE      DNSLOOKUP 
agence-viaud.com                                                                                     ACTIVE      DNSLOOKUP 
aksescepatjp.com                                                                                     ACTIVE      DNSLOOKUP 
ajo89able.org                                                                                        ACTIVE      WHOIS     
ampdepobos.com                                                                                       ACTIVE      DNSLOOKUP 
ampdevice.shop                                                                                       ACTIVE      WHOIS     
alfa188.net                                                                                          ACTIVE      DNSLOOKUP 
angkasa77.com                                                                                        ACTIVE      DNSLOOKUP 
angkasa88.vip                                                                                        ACTIVE      WHOIS     
api33-play.com                                                                                       ACTIVE      DNSLOOKUP 
arquitectogratis.com                                                                                 ACTIVE      DNSLOOKUP 
apizeus77.glitch.me                                                                                  ACTIVE      DNSLOOKUP 
arta4d.pusat4dbest.com                                                                               ACTIVE      DNSLOOKUP 
arta7b.pusat4dbest.com                                                                               ACTIVE      DNSLOOKUP 
arratiabeer.com                                                                                      ACTIVE      DNSLOOKUP 
asiankitchentpa.com                                                                                  ACTIVE      DNSLOOKUP 
autohubva.com                                                                                        ACTIVE      DNSLOOKUP 
arterama.net                                                                                         ACTIVE      DNSLOOKUP 
bandot-amp3.com                                                                                      ACTIVE      DNSLOOKUP 
bantengmerah.com                                                                                     ACTIVE      DNSLOOKUP 
bantengmerah.my                                                                                      ACTIVE      WHOIS     
baris4dmembara.io                                                                                    ACTIVE      WHOIS     
bata4dlapak.id                                                                                       ACTIVE      WHOIS     
bantengmerahlogin.com                                                                                ACTIVE      DNSLOOKUP 
bata4dreg.id                                                                                         ACTIVE      WHOIS     
batangtoge.com                                                                                       ACTIVE      DNSLOOKUP 
bawaslusanggau.com                                                                                   ACTIVE      DNSLOOKUP 
bataratoto.net                                                                                       ACTIVE      DNSLOOKUP 
bayam89-v13.com                                                                                      ACTIVE      DNSLOOKUP 
beanooutdoorgame.com                                                                                 ACTIVE      DNSLOOKUP 
belaidabdelaziz.com                                                                                  ACTIVE      DNSLOOKUP 
baycountrybakery.com                                                                                 ACTIVE      DNSLOOKUP 
belaidabdelaziz.pages.dev                                                                            ACTIVE      DNSLOOKUP 
benermeriah.pages.dev                                                                                ACTIVE      DNSLOOKUP 
berita3jambi.com                                                                                     ACTIVE      DNSLOOKUP 
bestiari.net                                                                                         ACTIVE      DNSLOOKUP 
bernabe-guitars.com                                                                                  ACTIVE      DNSLOOKUP 
bigbillsauto.com                                                                                     ACTIVE      DNSLOOKUP 
blacktango.com                                                                                       ACTIVE      DNSLOOKUP 
bluedoorlabs.com                                                                                     ACTIVE      DNSLOOKUP 
bisingsuaramusik.icu                                                                                 ACTIVE      WHOIS     
bonus888h.com                                                                                        ACTIVE      DNSLOOKUP 
bonusria.online                                                                                      ACTIVE      WHOIS     
bosjoko39201.com                                                                                     ACTIVE      DNSLOOKUP 
braininjurysupport.org                                                                               ACTIVE      WHOIS     
buenavidafoco.com                                                                                    ACTIVE      DNSLOOKUP 
bulandhl.com                                                                                         ACTIVE      DNSLOOKUP 
bwbt365ok.com                                                                                        ACTIVE      DNSLOOKUP 
bysimondunn.com                                                                                      ACTIVE      DNSLOOKUP 
bywaysresourcecenter.org                                                                             ACTIVE      WHOIS     
cahalenandeli.com                                                                                    ACTIVE      DNSLOOKUP 
capunghitam.info                                                                                     ACTIVE      WHOIS     
capungzeus.site                                                                                      ACTIVE      WHOIS     
careolder.com                                                                                        ACTIVE      DNSLOOKUP 
carlos-furniture.com                                                                                 ACTIVE      DNSLOOKUP 
cdn.korte.ca                                                                                         ACTIVE      DNSLOOKUP 
cdn.synctv.com                                                                                       ACTIVE      DNSLOOKUP 
cdsindia.org                                                                                         ACTIVE      WHOIS     
celsomiguez.com                                                                                      ACTIVE      DNSLOOKUP 
cengkram-elang188.store                                                                              ACTIVE      WHOIS     
cgine2024.org                                                                                        ACTIVE      WHOIS     
charmmemedia.com                                                                                     ACTIVE      DNSLOOKUP 
cimfpanama2024.com                                                                                   ACTIVE      DNSLOOKUP 
cartoonfile.net                                                                                      ACTIVE      DNSLOOKUP 
coconuttickets.com                                                                                   ACTIVE      DNSLOOKUP 
coloksgp026.com                                                                                      ACTIVE      DNSLOOKUP 
coconutwhite.com                                                                                     ACTIVE      DNSLOOKUP 
coloksgp53.com                                                                                       ACTIVE      DNSLOOKUP 
cubscast.com                                                                                         ACTIVE      DNSLOOKUP 
cuci22.com                                                                                           ACTIVE      DNSLOOKUP 
daduslot88asli.com                                                                                   ACTIVE      DNSLOOKUP 
daphnescapades.com                                                                                   ACTIVE      DNSLOOKUP 
cuan128link.org                                                                                      ACTIVE      WHOIS     
dbltotobest.com                                                                                      ACTIVE      DNSLOOKUP 
deandeluca.com                                                                                       ACTIVE      DNSLOOKUP 
defininghopes.com                                                                                    ACTIVE      DNSLOOKUP 
directtablewareproducts.com                                                                          ACTIVE      DNSLOOKUP 
distancesfrom.in                                                                                     ACTIVE      WHOIS     
duchesnegov.net                                                                                      ACTIVE      DNSLOOKUP 
dlmanuals.com                                                                                        ACTIVE      DNSLOOKUP 
duniaromano.com                                                                                      ACTIVE      DNSLOOKUP 
dvanonline.com                                                                                       ACTIVE      DNSLOOKUP 
dw88.net                                                                                             ACTIVE      DNSLOOKUP 
dw88.org                                                                                             ACTIVE      WHOIS     
dw88gacor.pages.dev                                                                                  ACTIVE      DNSLOOKUP 
dwptogelgo.com                                                                                       ACTIVE      DNSLOOKUP 
dwptogelpay.com                                                                                      ACTIVE      DNSLOOKUP 
dwv99bros.art                                                                                        ACTIVE      WHOIS     
dwtjitu.com                                                                                          ACTIVE      DNSLOOKUP 
dwv99cold.com                                                                                        ACTIVE      DNSLOOKUP 
elang178win.com                                                                                      ACTIVE      DNSLOOKUP 
elang367-aja.site                                                                                    ACTIVE      WHOIS     
eac2024.org                                                                                          ACTIVE      WHOIS     
elang77.net                                                                                          ACTIVE      DNSLOOKUP 
elangtangkas.org                                                                                     ACTIVE      WHOIS     
elpaso411.com                                                                                        ACTIVE      DNSLOOKUP 
elitiko.com                                                                                          ACTIVE      DNSLOOKUP 
energypluselectric.com                                                                               ACTIVE      DNSLOOKUP 
empire.koipasti.tv                                                                                   ACTIVE      DNSLOOKUP 
epicwin138co.vercel.app                                                                              ACTIVE      DNSLOOKUP 
enjoy123.net                                                                                         ACTIVE      DNSLOOKUP 
era188n.com                                                                                          ACTIVE      DNSLOOKUP 
era77ca.com                                                                                          ACTIVE      DNSLOOKUP 
eropa4dturbo.com                                                                                     ACTIVE      DNSLOOKUP 
eropa99nolimit.com                                                                                   ACTIVE      DNSLOOKUP 
eropa99ny.com                                                                                        ACTIVE      DNSLOOKUP 
eropachoice.com                                                                                      ACTIVE      DNSLOOKUP 
es.womeninagscience.org                                                                              ACTIVE      DNSLOOKUP 
euindiathinktanks.com                                                                                ACTIVE      DNSLOOKUP 
evesica.com                                                                                          ACTIVE      DNSLOOKUP 
espacechristianepeugeot.org                                                                          ACTIVE      WHOIS     
exoangin.com                                                                                         ACTIVE      DNSLOOKUP 
fakturina.com                                                                                        ACTIVE      DNSLOOKUP 
farmiemarket.com                                                                                     ACTIVE      DNSLOOKUP 
feb.barunatoto.net                                                                                   ACTIVE      DNSLOOKUP 
faima.upb.ro                                                                                         ACTIVE      DNSLOOKUP 
fitzgeraldinsaintpaul.org                                                                            ACTIVE      WHOIS     
firstboardroom.com                                                                                   ACTIVE      DNSLOOKUP 
fivestarsalesandservice.com                                                                          ACTIVE      DNSLOOKUP 
fortsaskinfo.pages.dev                                                                               ACTIVE      DNSLOOKUP 
funktionalley.com                                                                                    ACTIVE      DNSLOOKUP 
fusototo.com                                                                                         ACTIVE      DNSLOOKUP 
fyshbg.com                                                                                           ACTIVE      DNSLOOKUP 
